pizza_ingredients,required_quantity
alfredo sauce,84.0
anchovies,159.0
artichokes,504.0
arugula,56.0
asiago cheese,330.0
bacon,199.0
barbecue sauce,56.0
barbecued chicken,166.0
beef chuck roast,199.0
blue cheese,55.0
brie carre cheese,55.0
calabrese salami,163.0
capocollo,652.0
caramelized onions,36.0
chicken,815.0
chipotle sauce,220.0
chorizo sausage,91.0
cilantro,112.0
coarse sicilian salami,111.0
corn,182.0
duja salami,222.0
eggplant,222.0
feta cheese,631.0
fontina cheese,220.0
friggitello peppers,56.0
garlic,1120.0
genoa salami,202.0
goat cheese,444.0
gorgonzola piccante cheese,111.0
gouda cheese,110.0
green olives,224.0
green peppers,303.0
italian sausage,19.0
jalapeno peppers,168.0
kalamata olives,251.0
luganega sausage,222.0
mozzarella cheese,550.0
mushrooms,1554.0
onions,110.0
oregano,56.0
pancetta,202.0
parmigiano reggiano cheese,147.0
pears,19.0
peperoncini verdi,56.0
pepperoni,1201.0
pesto sauce,330.0
pineapple,334.0
plum tomatoes,222.0
prosciutto,55.0
prosciutto di san daniele,130.0
provolone cheese,55.0
red onions,2922.0
red peppers,560.0
ricotta cheese,138.0
romano cheese,55.0
sliced ham,108.0
smoked gouda cheese,55.0
soppressata salami,163.0
spinach,1336.0
sundried tomatoes,112.0
thai sweet chilli sauce,110.0
thyme,8.0
tomatoes,2146.0
zucchini,220.0
